ID,name,batch,category,status,path,commit_sha,proof_ref,notes
UTL-001,ToolLabWorkLogger,B01,Core Logging,DONE,Assets/ToolLab/Runtime/Logging/ToolLabWorkLogger.cs,a540a21,WorkLoggerTests.cs,Schema v1.2 19 fields. DO_NOT_TOUCH
UTL-002,WorkLoggerTests,B01,Core Logging,DONE,Assets/ToolLab/Tests/Editor/WorkLoggerTests.cs,a540a21,,T1-T7 gate tests. DO_NOT_TOUCH
UTL-003,LogRotationPolicy,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/LogRotationPolicy.cs,,,Auto-rotate JSONL by date/size
UTL-004,LogQueryReader,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/LogQueryReader.cs,,,Read/filter JSONL entries
UTL-005,SessionIdProvider,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/SessionIdProvider.cs,,,Stable GUID per domain reload
UTL-006,RedactionGuardTests,B01,Core Logging,PLANNED,Assets/ToolLab/Tests/Editor/RedactionGuardTests.cs,,,Unit tests for redaction throw
UTL-007,LogSchemaValidator,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/LogSchemaValidator.cs,,,Validate all 19 fields at runtime
UTL-008,LogLevelFilter,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/LogLevelFilter.cs,,,Filter by INFO/WARN/ERROR/GATE
UTL-009,LogExporterJson,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/LogExporterJson.cs,,,Export JSONL to pretty JSON
UTL-010,LogExporterCsv,B01,Core Logging,PLANNED,Assets/ToolLab/Runtime/Logging/LogExporterCsv.cs,,,Export JSONL to CSV
UTL-011,TmpAlphaFadeIn,B02,TMP / Text,CLOSED_BY_OPERATOR,Assets/ToolLab/Runtime/TMP/TmpAlphaFadeIn.cs,e9272d8,TmpAlphaFadeInTests.cs,TMP_001. Alpha handled. Non-blocking.
UTL-012,TmpAlphaFadeInTests,B02,TMP / Text,CLOSED_BY_OPERATOR,Assets/ToolLab/Tests/Editor/TmpAlphaFadeInTests.cs,a540a21,,TMP_001 tests. Non-blocking.
UTL-013,TmpTypewriter,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpTypewriter.cs,,,Typewriter reveal effect
UTL-014,TmpColorCycler,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpColorCycler.cs,,,Cycle vertex colors on TMP
UTL-015,TmpRichTagStripper,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpRichTagStripper.cs,,,Strip rich-text tags for logging
UTL-016,TmpWordWrapper,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpWordWrapper.cs,,,Manual word-wrap utility
UTL-017,TmpFontSizer,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpFontSizer.cs,,,Dynamic fit-to-rect font sizing
UTL-018,TmpLinkHandler,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpLinkHandler.cs,,,Click handler for TMP hyperlinks
UTL-019,TmpSpriteAnimator,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpSpriteAnimator.cs,,,Animate inline sprites in TMP
UTL-020,TmpLocalizationBridge,B02,TMP / Text,PLANNED,Assets/ToolLab/Runtime/TMP/TmpLocalizationBridge.cs,,,Feed localized strings to TMP
UTL-021,EditorWindowBase,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/EditorWindowBase.cs,,,Base class for all UTL EditorWindows
UTL-022,AssetPathResolver,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/AssetPathResolver.cs,,,Resolve GUIDs to paths
UTL-023,SelectionHistoryWindow,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/SelectionHistoryWindow.cs,,,Track object selection history
UTL-024,HierarchyHighlighter,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/HierarchyHighlighter.cs,,,Color-code hierarchy by tag/layer
UTL-025,ComponentFinder,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/ComponentFinder.cs,,,Find component across all prefabs
UTL-026,MissingScriptFinder,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/MissingScriptFinder.cs,,,Report missing MonoBehaviour refs
UTL-027,ScriptableObjectCreator,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/ScriptableObjectCreator.cs,,,Generic SO creation wizard
UTL-028,FolderStructureValidator,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/FolderStructureValidator.cs,,,Enforce project folder conventions
UTL-029,EditorPrefsManager,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/EditorPrefsManager.cs,,,Typed EditorPrefs wrapper
UTL-030,MenuItemBatch,B03,Editor Utilities,PLANNED,Assets/ToolLab/Editor/MenuItemBatch.cs,,,Batch menu commands registry
UTL-031,SceneSwitcher,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/SceneSwitcher.cs,,,Quick-switch between scenes
UTL-032,SceneBookmarks,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/SceneBookmarks.cs,,,Save/restore camera bookmarks
UTL-033,ObjectPlacer,B04,Scene Tools,PLANNED,Assets/ToolLab/Runtime/Scene/ObjectPlacer.cs,,,Raycast-based object placement
UTL-034,GridSnapper,B04,Scene Tools,PLANNED,Assets/ToolLab/Runtime/Scene/GridSnapper.cs,,,Snap objects to configurable grid
UTL-035,SceneObjectCounter,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/SceneObjectCounter.cs,,,Count objects by type/layer
